,Please select your age.,What is the highest level of education you have attained?,In which discipline is your highest academic qualification?,In which institute do you work?,Do you write code as part of your job?,Who uses the code that you write?,How many years of software development experience do you have?,What programming language do you use at work? Please select all that apply.,Please rate every answer on a scale from 1 to 10. The sum of all 4 answers must be 10.,"In an average month, how much time do you spend on software development?","In an average month, how much time do you spend on research?","In an average month, how much time do you spend on management?","In an average month, how much time do you spend on other activities?","In an average month, how much time would you like to spend on software development?","In an average month, how much time would you like to spend on research?","In an average month, how much time would you like to spend on management?","In an average month, how much time would you like to spend on other activities?",Which version control tools do you use for software development? Please select all that apply.,Are you documenting your software?,"What kind of documentation do you write? Please rate every answer with “never”, “sometimes”, or “regularly”.",Developer guide,Code comments,Guide for new contributors,User manual,Release notes,Installation notes,README,Are you testing your software?,"How do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Automated,semi-automated,manually,"When do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Before I publish results based on it,Before I give it to someone else,During development,Did you ever reference or acknowledge software in a publication?,How do you reference software in a publication? Please select all that apply.,Do you care for making your software citable?
0,35 - 44,Master degree,Computer Science,Institute Space 17,Yes,2,15.0,Python,,2.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,2.0,3.0,3.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,Yes
1,25 - 34,Master degree,Computer Science,Institute Space 17,Yes,4,10.0,Java;#Python,,1.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,1.0,2.0,3.0,Yes,,2.0,2.0,2.0,,3.0,3.0,2.0,Yes,Name;#Link,Yes
2,35 - 44,Doctorate,Physics,Institute Energy 4,Yes,2,8.0,Java;#Python;#JavaScript;#SQL,,6.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,Subversion,Yes,,2.0,3.0,1.0,2.0,1.0,3.0,2.0,Yes,,3.0,3.0,2.0,,2.0,3.0,3.0,Yes,Name;#DOI,Yes
3,35 - 44,Other,Other,Institute Space 17,Yes,3,29.0,Java;#C++,,1.0,2.0,4.0,3.0,4.0,6.0,0.0,0.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,3.0,2.0,2.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,No,,Yes
4,35 - 44,Master degree,Mathematics,Institute Space 12,Yes,2,25.0,C++;#Perl,,4.0,1.0,3.0,2.0,5.0,1.0,3.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,3.0,2.0,2.0,3.0,Yes,,2.0,2.0,2.0,,2.0,2.0,2.0,No,Link;#DOI,Yes
5,25 - 34,Master degree,Computer Science,Institute Space 12,Yes,4,15.0,Python;#JavaScript,,6.0,2.0,1.0,1.0,8.0,1.0,0.0,1.0,Git,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,Yes,,2.0,2.0,,,3.0,3.0,3.0,Yes,Name;#Link;#DOI;#Other,Yes
6,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 5,Yes,0 - Mostly me,3.0,C;#Python;#C++;#MATLAB,,3.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,Subversion,Yes,,2.0,3.0,1.0,3.0,2.0,3.0,2.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,No,,No
7,25 - 34,Master degree,Computer Science,Institute Aeronautics 2,Yes,3,7.0,Java;#C#;#SQL;#MATLAB,,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,1.0,2.0,2.0,1.0,3.0,3.0,1.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,No,,No
8,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 17,Yes,5 - Mostly other people,6.0,Python;#C++,,7.0,1.0,0.0,2.0,5.0,4.0,1.0,0.0,Git,Yes,,2.0,3.0,2.0,2.0,1.0,1.0,2.0,Yes,,1.0,2.0,2.0,,2.0,1.0,3.0,No,Other,Yes
9,18 - 24,Undergraduate degree,Mathematics,Institute Space 17,Yes,2,3.0,C;#Python;#C++;#MATLAB;#Fortran,,5.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,2.0,Yes,Name;#Link,Yes
10,25 - 34,Master degree,Computer Science,Institute Space 17,Yes,2,4.0,Java;#Python,,3.0,5.0,1.0,1.0,2.0,6.0,1.0,1.0,Git,Yes,,2.0,3.0,2.0,1.0,1.0,3.0,3.0,No,,1.0,1.0,2.0,,2.0,2.0,1.0,No,Name;#DOI,Yes
11,25 - 34,Doctorate,Computer Science,Institute Aeronautics 4,Yes,1,10.0,Java;#C++;#C#;#Other,,4.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,2.0,Yes,Name;#Link,Yes
12,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 17,Yes,4,2.0,C;#Python;#C++;#SQL,,9.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,Git,Yes,,1.0,3.0,2.0,2.0,1.0,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link,Yes
13,25 - 34,Master degree,Computer Science,Institute Space 12,Yes,1,5.0,Python;#C++;#MATLAB,,4.0,4.0,1.0,1.0,3.0,5.0,1.0,1.0,Git,Yes,,2.0,3.0,1.0,1.0,1.0,2.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,2.0,Yes,Name;#Link,Yes
14,25 - 34,Master degree,Computer Science,Institute Transport 1,Yes,1,10.0,Java;#C;#Python;#C++;#JavaScript;#SQL;#R,,2.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,Subversion;#Git,Yes,,1.0,3.0,1.0,3.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link,Yes
15,25 - 34,Undergraduate degree,Computer Science,Institute Transport 3,Yes,2,5.0,Java;#C;#Python;#C++;#JavaScript,,4.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,2.0,3.0,3.0,No,,Yes
16,35 - 44,Doctorate,Physics,Institute Space 16,Yes,5 - Mostly other people,10.0,Java;#Python;#Visual Basic .NET;#C#;#SQL,,4.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,Git,Yes,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,No,,No
